Regions
UA71000000000010357 01	Черкаська
UA74000000000025378 02	Чернігівська
UA73000000000044923 03	Чернівецька
UA12000000000090473 04	Дніпропетровська
UA14000000000091971 05	Донецька
UA26000000000069363 06	Івано-Франківська
UA63000000000041885 07	Харківська
UA65000000000030969 08	Херсонська
UA68000000000099709 09	Хмельницька
UA35000000000016081 10	Кіровоградська
UA32000000000030281 13	Київська
UA44000000000018893 14	Луганська
UA46000000000026241 15	Львівська
UA48000000000039575 16	Миколаївська
UA51000000000030770 17	Одеська
UA53000000000028050 18	Полтавська
UA56000000000066151 19	Рівненська
UA59000000000057109 21	Сумська
UA61000000000060328 22	Тернопільська
UA05000000000010236 23	Вінницька
UA07000000000024379 24	Волинська
UA21000000000011690 25	Закарпатська
UA23000000000064947 26	Запорізька
UA18000000000041385 27	Житомирська
UA01000000000013043 11	Крим
